VRSTA SMJESTAJA,PODRUCJE,LOKACIJA,BROJ SPAVACIH SOBA,BROJ KUPATILA,CIJENA,STAMBENA POVRSINA,ZEMLJISTE,PARKING MJESTA,OD MORA,NOVOGRADNJA,KLIMA,NASLOV,OPIS,OGLASIO,MOBILNI,BROJ OGLASA,ZADNJA PROMJENA,SLIKE,URL
Prodajem Hotel,Ulcinj,Nema Podataka,10,Nema Podataka,€269.000,500 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Ulcinj, €269.000",Na prodaju stambena zgrada ukupne površine 500 m2 (370 m2 stambenog prostora).,https://westhill.me/cr/object/4062Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2412950 (4062),"8 Oct, 2020","/c_images/2412950_1_big_IMG-20191014-WA0015.jpg,/c_images/2412950_2_big_IMG-20191014-WA0008.jpg,/c_images/2412950_3_big_IMG-20191014-WA0011.jpg,/c_images/2412950_4_big_IMG-20191014-WA0009.jpg",https://www.realitica.com/hr/listing/2412950
Prodajem Hotel,Herceg Novi,Luštica,5,Nema Podataka,€320.000,300 m,350 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Luštica, Herceg Novi, €320.000","Villa for sale in Zanjice on the Lustica peninsula. Fenced, private land - 350m2. A three-storey house - 300m2, 5 suites. Rooms designed for a maximum of 20 people. All apartments are equipped with kitchenette, air conditioning, bathtub. TV with Russian channels, Internet. Parking in front of the house. Nearby beaches - Zanjice, Porto Rosa, Miriste, Dobreć, Plavi Horizont, Paddle.

",https://westhill.me/cr/object/1774Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2413869 (1774),"8 Oct, 2020","/c_images/2413869_1_big_DSC_0048.JPG,/c_images/2413869_2_big_DSC_0018.JPG,/c_images/2413869_3_big_DSC_0020.JPG,/c_images/2413869_4_big_DSC_0025.JPG",https://www.realitica.com/hr/listing/2413869
Prodajem Hotel,Herceg Novi,Igalo,6,Nema Podataka,€370.000,350 m,500 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Igalo, Herceg Novi, €370.000","For sale private villa in a mountainous area, just above the town of Herceg Novi and Igalo. The villa is completely isolated and surrounded by lush vegetation. Location provides a complete peace and quiet. Rooms fund for a maximum of 24 people, consists of six apartments. Each apartment has own entrance.",https://westhill.me/cr/object/1772Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2412877 (1772),"8 Oct, 2020","/c_images/2412877_1_big_19.jpg,/c_images/2412877_2_big_4.08.JPG,/c_images/2412877_3_big_15.jpg,/c_images/2412877_4_big_23.jpg",https://www.realitica.com/hr/listing/2412877
Prodajem Hotel,Bar,Nema Podataka,9,Nema Podataka,€330.000,368 m,558 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bar, €330.000","Objekt je trospratan sa 9 namještenih stanova, a svaka infrastruktura pruža komforan smještaj za kraće razdoblje (turističko) ili na duži period.",https://westhill.me/cr/object/4144Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2412849 (4144),"8 Oct, 2020","/c_images/2412849_1_big_P1040285.JPG,/c_images/2412849_2_big_cdswe45t.JPG,/c_images/2412849_3_big_6767.JPG,/c_images/2412849_4_big_IMG_20150402_093647.jpg",https://www.realitica.com/hr/listing/2412849
Prodajem Hotel,Kotor,Dobrota,10,Nema Podataka,€2.800.000,550 m,300 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobrota, Kotor, €2.800.000",Raspored po etažama:,https://westhill.me/cr/object/3878Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2412825 (3878),"8 Oct, 2020","/c_images/2412825_1_big_0.jpg,/c_images/2412825_2_big_6.jpg,/c_images/2412825_3_big_12.jpg,/c_images/2412825_4_big_8-3-1.jpg",https://www.realitica.com/hr/listing/2412825
Prodajem Hotel,Budva Okolina,Petrovac,22,Nema Podataka,€1.700.000,Nema Podataka,1.000 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Petrovac, Budva Okolina, €1.700.000",Mini-hotel na prodaju u Petrovcu na crnogorskom primorju.,https://westhill.me/cr/object/1296Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2412786 (1296),"8 Oct, 2020","/c_images/2412786_1_big_11964620236_4ff6289ace_k3.jpg,/c_images/2412786_2_big_6846622165_1aaf006f4d_b.jpg,/c_images/2412786_3_big_6846628633_7727154d19_b.jpg,/c_images/2412786_4_big_11963941135_e906f8b5d5_k2.jpg",https://www.realitica.com/hr/listing/2412786
Prodajem Hotel,Bar,Sutomore,22,Nema Podataka,€4.200.000,2.200 m,600 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Sutomore, Bar, €4.200.000","Luksuzni hotel, upravo pušten u rad, nalazi se na samo par koraka od pješčane plaže u Sutomoru. Posjeduje svoj restoran, spa centar, saunu, sezonski otvoreni i zatvoreni bazen panoramski pogled na more.",https://westhill.me/cr/object/3880Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2412707 (3880),"8 Oct, 2020","/c_images/2412707_1_big_4.jpg,/c_images/2412707_2_big_17.jpg,/c_images/2412707_3_big_11.jpg,/c_images/2412707_4_big_12.jpg",https://www.realitica.com/hr/listing/2412707
Prodajem Hotel,Budva Okolina,Petrovac,13,Nema Podataka,€1.260.000,650 m,600 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Petrovac, Budva Okolina, €1.260.000",Prodaje se mini hotel u Petrovcu na obali Budvanske Rivijere.,https://westhill.me/cr/object/6Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2412704 (6),"8 Oct, 2020","/c_images/2412704_1_big_180535839.jpg,/c_images/2412704_2_4bb8b923bacd6.JPG,/c_images/2412704_3_4bb8b94cb340b.JPG,/c_images/2412704_4_4bb8b964df20e.JPG",https://www.realitica.com/hr/listing/2412704
Prodajem Hotel,Herceg Novi,Savina,27,30,Nema Podataka,1.510 m,1.895 m,10,"80
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Savina","Prodaje se Garni hotel na Savini, ukupne povrsine /stambeno-poslovni prostor/1510m2 sa kultivisanim dvoristem 1895m2,sa pogledom na more.",Ljubomir,+382 69 489 411 +382 67 363 199,2115290,"8 Jan, 2021","https://www.realitica.com/images/listing_photos/2115290_dsc09094_800x600.jpg,https://www.realitica.com/images/listing_photos/2115290_dsc09084_800x600.jpg,https://www.realitica.com/images/listing_photos/2115290_dsc09111_800x600.jpg,https://www.realitica.com/images/listing_photos/2115290_dsc09079_800x600.jpg",https://www.realitica.com/hr/listing/2115290
Prodajem Hotel,Budva,Centar,13,Nema Podataka,Nema Podataka,Nema Podataka,520 m,10,"100
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Centar",Luksuzni hotel u Budvi da 4 zvjezdice na placu od 520m2 i 300 metara od starog grada. Hotel ima 9 dvosobnih i 4 luksuzna apartmana. Savršeno projektovano sa skupim materijalima uraddjeno. Cijena po dogovoru.,Nemanja,069 155 195,1742725,"5 Jan, 2021","https://www.realitica.com/images/listing_photos/1742725_20181103_174259.jpg,https://www.realitica.com/images/listing_photos/1742725_20181103_125828.jpg,https://www.realitica.com/images/listing_photos/1742725_20181103_125658.jpg,https://www.realitica.com/images/listing_photos/1742725_20181103_125446.jpg",https://www.realitica.com/hr/listing/1742725
Prodajem Hotel,Ulcinj,Nema Podataka,Nema Podataka,Nema Podataka,€1.500.000,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Ulcinj","Ovo je retka prilika za nekoga ko želi da poseduje i upravlja hotelskim biznisom u Ulcinju, turistički magnet sa 12 km dugom Velikom plažom na jugu Crne Gore.Ovaj hotel sa četiri zvezdice nalazi se u Ulcinju, na samo 2,2 km udaljenosti ili na pešačkoj udaljenosti od Velike plaže. Svih 12 apartmana koji pripadaju hotelu potpuno su opremljeni i opremljeni. Svaki pojedinačni stan ima 42, 43 ili 51 kvadratni metar površine. Hotel ima 12k6 m bazen, koji je retkost među susednim hotelima i faktor izbora za posetioce. Imovina ima sve potrebne dozvole i pravne dokumente, uključujući i dozvolu crnogorskog Ministarstva turizma da posluje kao 4 * kondo hotel. Hotel je završen krajem jula 2018. godine i kratko je bio otvoren za goste tokom meseca avgusta sa visokom stopom popunjenosti.U sklopu hotela nalazi se zemljište od 594 m2 sa svim dozvolama za izgradnju još jednog hotela ili stambene zgrade sa nacrtom projekta sa ulaznim prostorom plus četiri sprata sa osnovnom površinom 179,4 m2 i ukupnom građevinskom površinom od 897 m2. Navedena prodajna cijena uključuje i ovu zemljišnu parcelu.Trenutni vlasnici hotela nude i mogućnost iznajmljivanja. Ako ste zainteresovani da iskoristite ovu neverovatnu ponudu, jednostavno nas kontaktirajte za informacije o ceni.

",https://www.remax.me/700021003-6?La...RE/MAX-Riviera,067697663,1804797,"5 Jan, 2021","https://www.realitica.com/images/listing_photos/1804797_hotel-ulcinj-prodaja.jpg,https://www.realitica.com/images/listing_photos/1804797_hotel-ulcinj-bazen.jpg,https://www.realitica.com/images/listing_photos/1804797_hotel-ulcinj-kupatilo.jpg,https://www.realitica.com/images/listing_photos/1804797_hotel-ulcinj-soba.jpg",https://www.realitica.com/hr/listing/1804797
Prodajem Hotel,Budva,Hotel U Radu,26,Nema Podataka,€1.800.000,1.105 m,Nema Podataka,Nema Podataka,400,Nema Podataka,Nema Podataka,Na prodaju mini hotel u Budvi,H7073,"http://www.kaminnekretnine.comAGENCIJA ""KAMIN NEKRETNINE""",+38269351333,1641328,"5 Jan, 2021","/b_images/1641328_mini-hotel-na-prodaji-u-budvi4.jpg,/b_images/1641328_mini-hotel-na-prodaji-u-budvi.jpg,/b_images/1641328_mini-hotel-na-prodaji-u-budvi1.jpg,/b_images/1641328_mini-hotel-na-prodaji-u-budvi2.jpg",https://www.realitica.com/hr/listing/1641328
Prodajem Hotel,Kotor,Perast,11,11,€4.200.000,960 m,1.277 m,15,200,Nema Podataka,Nema Podataka,"Prodajem Hotel, Perast","h7082 Hotel na ekskluzivnoj lokaciji, Perast, Boka Kotorska","http://www.kaminnekretnine.comAGENCIJA ""KAMIN NEKRETNINE""",+38269351333,2292464,"5 Jan, 2021","https://www.realitica.com/images/listing_photos/2292464_hotel-sale-perast-vila-prodaja-perast-kamin-nekretnine_6.jpg,https://www.realitica.com/images/listing_photos/2292464_hotel-sale-perast-vila-prodaja-perast-kamin-nekretnine_3.jpg,https://www.realitica.com/images/listing_photos/2292464_otel-sale-perast-vila-prodaja-perast-kamin-nekretnine_13.jpg,https://www.realitica.com/images/listing_photos/2292464_otel-sale-perast-vila-prodaja-perast-kamin-nekretnine_21.jpg",https://www.realitica.com/hr/listing/2292464
Prodajem Hotel,Bar,Dobre Vode,Nema Podataka,Nema Podataka,€270.000,476 m,408 m,Nema Podataka,"1200
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode","h7085 Na prodaju hotel u Baru, Dobre vode, aukcijska prodaja","http://www.kaminnekretnine.comAGENCIJA ""KAMIN NEKRETNINE""",+38269351333,2383984,"5 Jan, 2021","https://www.realitica.com/images/listing_photos/2383984_dobre-vode-hotel-na-prodaju-.jpg,https://www.realitica.com/images/listing_photos/2383984_dobre-vode-hotel-na-prodaju-_7.jpg,https://www.realitica.com/images/listing_photos/2383984_dobre-vode-hotel-na-prodaju-_10.jpg,https://www.realitica.com/images/listing_photos/2383984_dobre-vode-hotel-na-prodaju-_12.jpg",https://www.realitica.com/hr/listing/2383984
Prodajem Hotel,Ulcinj,Gornji Štoj,Nema Podataka,Nema Podataka,€830.000,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Gornji Štoj","Prodaje se MINI hotel u Ulcinju - Štoju, e neposrednoj blizini plaže. Isti ima 6 apartmana, 11 soba sa blakonima i delimičnim pogledom na more. Površine 750 m2, 20 parking mjesta, pumpa za vodu. Klima uređaj za sve sobe. 

",Ema,Nema Podataka,1669095,"4 Jan, 2021","https://www.realitica.com/images/listing_photos/1669095_img_apjus__147.jpg,https://www.realitica.com/images/listing_photos/1669095_img_apjus__183.jpg,https://www.realitica.com/images/listing_photos/1669095_img_apjus__018.jpg,https://www.realitica.com/images/listing_photos/1669095_img_apjus__039.jpg",https://www.realitica.com/hr/listing/1669095
Prodajem Hotel,Bar,Nema Podataka,5,7,€440.000,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bar","Renovirani objekat na najboljoj lokaciji u Starom Baru na prodaju , Bar",Arijana,+38268823494,2401991,"4 Jan, 2021","https://www.realitica.com/images/listing_photos/2401991_0002.jpg,https://www.realitica.com/images/listing_photos/2401991_0008.jpg,https://www.realitica.com/images/listing_photos/2401991_0027.jpg,https://www.realitica.com/images/listing_photos/2401991_0028.jpg",https://www.realitica.com/hr/listing/2401991
Prodajem Hotel,Budva Okolina,Bečići,7,7,Nema Podataka,275 m,Nema Podataka,Nema Podataka,300,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići","Prodaje se turistıckı objekat u Becicima, 3 minuta od mora",Arijana,+38268823494,2444901,"4 Jan, 2021","https://www.realitica.com/images/listing_photos/2444901_34.jpg,https://www.realitica.com/images/listing_photos/2444901_33.jpg,https://www.realitica.com/images/listing_photos/2444901_19.jpg,https://www.realitica.com/images/listing_photos/2444901_21.jpg,https://www.realitica.com/images/listing_photos/2444901_31.jpg",https://www.realitica.com/hr/listing/2444901
Prodajem Hotel,Kotor,Stoliv,7,"7
									",€2.700.000,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Stoliv","Zeta Residence je kompleks od pet luksuznih apartmana koji se nalaze u selu Stoliv. „Sto maslina“ - kako su ribari zvali ovo mesto u stara vremena, ovde su mletački trgovci gradili svoje kuće i crkve. I do danas ovo mesto zadržava šarm antike, čistoće i sklada.Površina objekta 622 m2 , površina dvorišta 600 m2.",http://www.montenegrogenesis.comAnna,069366030,2215888,"4 Jan, 2021","https://www.realitica.com/images/listing_photos/2215888_dsc_1308.jpg,https://www.realitica.com/images/listing_photos/2215888_dsc_3696.jpg,https://www.realitica.com/images/listing_photos/2215888_dsc_3689.jpg,https://www.realitica.com/images/listing_photos/2215888_dsc_3706.jpg",https://www.realitica.com/hr/listing/2215888
Prodajem Hotel,Herceg Novi,Herceg Novi,Nema Podataka,Nema Podataka,Nema Podataka,900 m,1.000 m,8,"50
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Savina","APARTMANSKI KOMPLEKS SAVINA VILLA  SMJESTEN NA ULAZU U JEDAN OD oNAJLJEPSIH ZALIVA SVIJETA 50M OD MORA.FANTASTICAN POGLED NA ZALIV.MOGUCNOST KUPIVINE SPRATA 150M2 PO 3000E.STIM POSTAJETE SUVLASNIK KORISCENJA BAZENA,SAUNE,TERETANE I PROSTORA OKO OBJEKTA.TAKODJE SE OBJEKAT PRODAJE U CJELINI,2200000E.

",Montebella,+38267846236,961990,"3 Jan, 2021","https://www.realitica.com/images/listing_photos/961990_2.jpeg,https://www.realitica.com/images/listing_photos/961990_1.jpeg,https://www.realitica.com/images/listing_photos/961990_1-1.jpeg,https://www.realitica.com/images/listing_photos/961990_20140316_163801_resized.jpg",https://www.realitica.com/hr/listing/961990
Prodajem Hotel,Bar,Bar,19,Nema Podataka,Nema Podataka,1.450 m,800 m,15,5,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bar",Prodaje se radni hotel u Crnoj Gori -  3*** - Super Sea View.,http://www.montenegro-bar.ru/invest...Lana,WhatsApp +382 600 20207,1413297,"2 Jan, 2021","/b_images/1413297_hotel-1.jpg,/b_images/1413297_dsc_0092.jpg,/b_images/1413297_22collage.jpg,/b_images/1413297_111collage.jpg",https://www.realitica.com/hr/listing/1413297
Prodajem Hotel,Tivat,Nema Podataka,30,30,Nema Podataka,Nema Podataka,1.000 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Tivat","Odlican Hotel.

",Minic,068295668,2226310,"1 Jan, 2021",,https://www.realitica.com/hr/listing/2226310
Prodajem Hotel,Budva Okolina,Bečići,Nema Podataka,Nema Podataka,€620.000,538 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići","Odlican manji Hotel sa cetiri etaze i dozvolom za nadogradnju jos dvije etaze.Povoljno.

",Minic,068295668,1518888,"1 Jan, 2021",,https://www.realitica.com/hr/listing/1518888
Prodajem Hotel,Budva Okolina,Bečići,Nema Podataka,Nema Podataka,€690.000,533 m,450 m,4,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići","Prodaje se hotel ,perfektan za biznis ,dobra komunikacija magistrali .Ukupno sa placen oko 1000 m2.Moze i po spratovima pojedinacna kupovina!

",Minic,068295668,1306487,"1 Jan, 2021",,https://www.realitica.com/hr/listing/1306487
Prodajem Hotel,Budva Okolina,Bečići,Nema Podataka,Nema Podataka,Nema Podataka,590 m,460 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići","Hotel povoljno.

",Minic,068295668,1798340,"1 Jan, 2021",,https://www.realitica.com/hr/listing/1798340
Prodajem Hotel,Budva Okolina,Bečići,8,8,Nema Podataka,650 m,650 m,8,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići","Prodajem ,Hotel!

",Minic,068295668,1344538,"1 Jan, 2021",,https://www.realitica.com/hr/listing/1344538
Prodajem Hotel,Herceg Novi,Herceg Novi,Nema Podataka,Nema Podataka,€770.000,530 m,Nema Podataka,Nema Podataka,70,Nema Podataka,Nema Podataka,"Prodaja, mini hotel, Herceg Novi","Na prodaju, razrađen mini hotel, Herceg Novi, Igalo. Veoma lijep hotel P=530 m2 posjeduje 11 kompletno opremljenih apartmana kao i garažu. Udaljenost od mora, šetališta pet danica sve par minuta laganog hoda.  Bilizna instituta Dr Simo Miošević, pješćene plaže, kao i ostali sadržaji koji su u neposrednoj blizini čine ga dodatno atraktivnim. Cijena snižena: 770.000 eura..dogovor",RIVIJERA NEKRETNINE,+382 67 788 166,918209,"31 Dec, 2020","https://www.realitica.com/images/listing_photos/918209_rivijera_nekretnine_prodaja_hotel_igalo_herceg-novi--10-.jpg,https://www.realitica.com/images/listing_photos/918209__rivijera_nekretnine_prodaja_hotel_igalo_herceg-novi--8-.jpg,https://www.realitica.com/images/listing_photos/918209__rivijera_nekretnine_prodaja_hotel_igalo_herceg-novi--3-.jpg,https://www.realitica.com/images/listing_photos/918209__rivijera_nekretnine_prodaja_hotel_igalo_herceg-novi--2-.jpg",https://www.realitica.com/hr/listing/918209
Prodajem Hotel,Herceg Novi,Herceg Novi,47,55,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,RIVIJERA Nekretnine Herceg Novi Kumbor luksuzan hotel,Herceg Novi Kumbor luksuzan hotel,https://rivijeranekretnine.com/prod...RIVIJERA NEKRETNINE,+382 67 788 166,1613676,"31 Dec, 2020","/b_images/1613676_-xsanady-hotel-kumbor-herceg-novi-4-_20180301_1372115293.jpg,/b_images/1613676_-nekretnine-prodaja-xsanady-hotel-kumbor-herceg-novi-12-.jpg,/b_images/1613676_-xsanady-hotel-kumbor-herceg-novi-3-_20180301_1235420117.jpg,/b_images/1613676_xsanady-hotel-kumbor-herceg-novi-10-_20180301_2076036436.jpg",https://www.realitica.com/hr/listing/1613676
Prodajem Hotel,Herceg Novi,Kumbor,47,50,€3.200.000,2.500 m,Nema Podataka,50,50,Nema Podataka,Nema Podataka,"RIVIJERA Nekretnine luksuzan Hotel, Kumbor","Hotel se sastoji od: 47 soba, 10 dvospratnih vila, 111 kreveta. Dva velika parkinga, dva bazena, restoran za 80 osoba. Godina izgradnje 2000, u 2011. godini je obnovljen. Video nadzor, bežični internet, satelitski TV. Voda, struja, kanalizacija - gradska, nalazi se generator i rezervoar za vodu. Licenca za cjelogodišnji rad.",https://rivijeranekretnine.com/prod...RIVIJERA NEKRETNINE,+382 67 788 166,1537985,"31 Dec, 2020","https://www.realitica.com/images/listing_photos/1537985_-nekretnine-prodaja-xsanady-hotel-kumbor-herceg-novi--5-.jpg,https://www.realitica.com/images/listing_photos/1537985_-nekretnine-prodaja-xsanady-hotel-kumbor-herceg-novi--8-.jpg,https://www.realitica.com/images/listing_photos/1537985_-nekretnine-prodaja-xsanady-hotel-kumbor-herceg-novi--7-.jpg,https://www.realitica.com/images/listing_photos/1537985_-nekretnine-prodaja-xsanady-hotel-kumbor-herceg-novi--3-.jpg",https://www.realitica.com/hr/listing/1537985
Prodajem Hotel,Herceg Novi,Njivice,Nema Podataka,Nema Podataka,Nema Podataka,612 m,2.478 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Njivice","Investicija apart hotel na obali mora Herceg Novi Njivice. Povrsina pod objektima 612 m2, povrsina zemljista oko objekata 2.478 m2. Veoma atraktivna lokacija prvi red do mora. Cijena na upit.",RIVIJERA NEKRETNINE,+382 67 788 166,1993117,"31 Dec, 2020","https://www.realitica.com/images/listing_photos/1993117_-sale-properties-in-montenegro-real-estate-ads-hotel--8-.jpg,https://www.realitica.com/images/listing_photos/1993117_-sale-properties-in-montenegro-real-estate-ads-hotel--9-.jpg,https://www.realitica.com/images/listing_photos/1993117_-sale-properties-in-montenegro-real-estate-ads-hotel--5-.jpg,https://www.realitica.com/images/listing_photos/1993117_-sale-properties-in-montenegro-real-estate-ads-hotel--1-.jpg",https://www.realitica.com/hr/listing/1993117
Prodajem Hotel,Ulcinj,Donji Štoj,20,25,€1.200.000,1.200 m,720 m,24,500,Nema Podataka,Nema Podataka,"Prodajem Hotel, Donji Štoj","Prodajem Hotel u Donji Stoj Ulcinj,u odlicnom stanju.",Mina,069215025,1601292,"30 Dec, 2020","https://www.realitica.com/images/listing_photos/1601292_20180612_144050.jpg,https://www.realitica.com/images/listing_photos/1601292_20180612_144740.jpg,https://www.realitica.com/images/listing_photos/1601292_20180612_144715.jpg,https://www.realitica.com/images/listing_photos/1601292_20180612_144343.jpg",https://www.realitica.com/hr/listing/1601292
Prodajem Hotel,Ulcinj,Donji Štoj,22,14,€620.000,1.000 m,880 m,20,1500,Nema Podataka,Nema Podataka,Hotel na prodaju,"Prodaje se mini hotel u naselju Donji Stoj. Hotel posjeduje recepciju, vanski restoran, vanski bazen, igraliste za djecu, prelijepa basta, vise parking mjesta. Na 4 etaze je, stambena povrsina od 1000m2 a ukupnog zemljista od 880m2. ",Mina,069215025,1913092,"30 Dec, 2020","https://www.realitica.com/images/listing_photos/1913092_1ffa8279-4e2b-4cca-9095-779f2ab0409a.jpeg,https://www.realitica.com/images/listing_photos/1913092_958bb5b0-957b-42db-bcfa-a4425f520c78.jpeg,https://www.realitica.com/images/listing_photos/1913092_39ae6360-cd72-4d72-84d2-d9e36150b5ec.jpeg,https://www.realitica.com/images/listing_photos/1913092_6f446ce9-4bc0-47c3-8e66-513e3f328206.jpeg",https://www.realitica.com/hr/listing/1913092
Prodajem Hotel,Budva,Nema Podataka,15,15,€1.300.000,888 m,444 m,Nema Podataka,"650
									",Nema Podataka,Nema Podataka,"Prodajem Kuću, Budva","k6074 Zgrada sa petnaest namještenih stanova, Budva","https://investmentmontenegro.me/mne...AGENCIJA ""KAMIN NEKRETNINE""",+38269351333,2476088,"29 Dec, 2020","https://www.realitica.com/images/listing_photos/2476088_88542173.jpg,https://www.realitica.com/images/listing_photos/2476088_88543573.jpg,https://www.realitica.com/images/listing_photos/2476088_88544215.jpg,https://www.realitica.com/images/listing_photos/2476088_88544233--1-.jpg,https://www.realitica.com/images/listing_photos/2476088_88542775.jpg,https://www.realitica.com/images/listing_photos/2476088_88542756.jpg",https://www.realitica.com/hr/listing/2476088
Prodajem Hotel,Bar,Dobre Vode,14,14,€1.950.000,656 m,332 m,8,"30
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode","h7083 Na prodaju mini hotel prva linija od mora, Bar, Dobre vode","http://www.kaminnekretnine.comAGENCIJA ""KAMIN NEKRETNINE""",+38269351333,2305052,"28 Dec, 2020","https://www.realitica.com/images/listing_photos/2305052_hotel-prodaja-bar-dobra-voda-hotel-crna-gora-1.jpeg,https://www.realitica.com/images/listing_photos/2305052_hotel-prodaja-bar-dobra-voda-hotel-crna-gora-11.jpeg,https://www.realitica.com/images/listing_photos/2305052_hotel-prodaja-bar-dobra-voda-hotel-crna-gora-14.jpeg,https://www.realitica.com/images/listing_photos/2305052_hotel-prodaja-bar-dobra-voda-hotel-crna-gora-18.jpeg",https://www.realitica.com/hr/listing/2305052
Prodajem Hotel,Bar,Sutomore,15,17,Nema Podataka,630 m,450 m,Nema Podataka,"300
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Sutomore","Mini hotel u Sutomoru, svega 500m od plaze i 50m od autobuske stanice. Povrsina objekta je 630m2 i sastoji se od 15 apartmana povrsine od 15 do 25m2 i dva poslovna prostora po 30m2. Svaki od apartmana ima sopstveno kupatilo, kuhinju, i terasu. Povrsina placa 410m2.  ",http://www.urbannekretnine.comUrban Nekretnine,+38267444913,1842848,"28 Dec, 2020","https://www.realitica.com/images/listing_photos/1842848_11201-s01205.2.jpg,https://www.realitica.com/images/listing_photos/1842848_11201-s01205.17.jpg,https://www.realitica.com/images/listing_photos/1842848_11201-s01205.8.jpg,https://www.realitica.com/images/listing_photos/1842848_11201-s01205.9.jpg",https://www.realitica.com/hr/listing/1842848
Prodajem Hotel,Budva Okolina,Bečići,Nema Podataka,Nema Podataka,"€1.200.000
									",Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići","Operating hotel for sale, Becici",Karina,+382 67 821 352,1763334,"28 Dec, 2020","https://www.realitica.com/images/listing_photos/1763334_12028--6-_1600x1067.jpg,https://www.realitica.com/images/listing_photos/1763334_12028--10-_1600x1119.jpg,https://www.realitica.com/images/listing_photos/1763334_12028--12-_1600x1103.jpg,https://www.realitica.com/images/listing_photos/1763334_12028--9-_1600x1138.jpg",https://www.realitica.com/hr/listing/1763334
Prodajem Hotel,Budva Okolina,Petrovac,5,5,€263.000,120 m,80 m,Nema Podataka,100,Nema Podataka,Nema Podataka,"Prodajem Hotel, Petrovac",Prodaje se mini hotel u gradu Petrovcu. Turistički kompleks sastoji se od 5 apartmana. Stambena površina svih apartmana iznosi 120 m2. Plus 2 velike terase površine 80 m2 i dvoriste.,Oksana,Nema Podataka,2269386,"28 Dec, 2020","https://www.realitica.com/images/listing_photos/2269386_05a4fd31-737d-4559-801c-331fc6fc03e4.jpeg,https://www.realitica.com/images/listing_photos/2269386_d1f6a323-3ccf-4372-9df0-4b2639d131c0.jpeg,https://www.realitica.com/images/listing_photos/2269386_00e15fe4-aa5b-4bec-a648-32840724cd0d.jpeg,https://www.realitica.com/images/listing_photos/2269386_97f9dc34-d12d-4c40-91ab-82056aa70e4f.jpeg",https://www.realitica.com/hr/listing/2269386
